method,country,n_scenarios,elapsed_sec,align_n_criteria,align_mis,align_jsd,align_cosine_sim,align_pearson_r,align_pearson_p,align_spearman_rho,align_spearman_p,align_mae,align_rmse
mc_dropout_T8_p0.1,USA,310,82.9222469329834,6,0.36899711386947504,0.04091222268720479,0.7051578238288654,0.7051578238288654,0.11758226668207193,0.7714285714285715,0.07239650145772594,13.708466313174432,15.06424409233126
mc_dropout_T8_p0.1,GBR,310,70.47831678390503,6,0.40745908800822417,0.04131469163705187,0.7217534854883041,0.721753485488304,0.10536060546724646,0.8285714285714287,0.04156268221574334,15.182253894555307,16.63444761133222
mc_dropout_T8_p0.1,DEU,310,91.37406826019287,6,0.37559580852540964,0.03621401936843705,0.8702449456056374,0.8702449456056377,0.024162258890098726,0.8857142857142858,0.01884548104956266,13.963135640991679,15.333634673589088
mc_dropout_T8_p0.1,ARG,310,82.57034635543823,6,0.41186508079421014,0.03897471787559006,0.555682264839458,0.5556822648394579,0.2522691598568878,0.7714285714285715,0.07239650145772594,15.673784078199114,16.814321513599708
mc_dropout_T8_p0.1,BRA,310,86.12586402893066,6,0.30592283351844957,0.05272561711258216,0.3581817580229439,0.358181758022944,0.4857036789617858,0.6,0.20799999999999982,9.892336646703855,12.489247379776799
mc_dropout_T8_p0.1,MEX,310,82.78192043304443,6,0.44515920872283304,0.04598400240290224,0.3265099119671162,0.3265099119671163,0.5276395343669374,0.48571428571428577,0.3287230320699709,16.731809039199103,18.173548594534253
mc_dropout_T8_p0.1,COL,310,85.19023394584656,6,0.38860569527804284,0.04743990402649793,0.23357864927481908,0.23357864927481914,0.656003933145195,0.3142857142857143,0.5440932944606414,14.071826512267213,15.864761076178187
mc_dropout_T8_p0.1,VNM,310,100.43147087097168,6,0.47253604509882247,0.047624103469437976,0.5663551057361018,0.5663551057361019,0.24129883685699982,0.6,0.20799999999999982,17.73236677619607,19.291203259414917
mc_dropout_T8_p0.1,MMR,310,81.97256064414978,6,0.3818491008813093,0.05426270781014697,0.6034495911485481,0.6034495911485481,0.20469912273309046,0.48571428571428577,0.3287230320699709,13.136256743630446,15.588924264995768
mc_dropout_T8_p0.1,THA,310,82.36455464363098,6,0.3418480767890312,0.04227812827398343,0.7297238120639247,0.7297238120639248,0.09970209459323201,0.7714285714285715,0.07239650145772594,12.21407962195589,13.955889294748136
mc_dropout_T8_p0.1,MYS,310,82.80069041252136,6,0.3633417730599352,0.046826920695456395,0.40509877811997763,0.40509877811997763,0.42559120436965814,0.6571428571428573,0.15617492711370237,13.033486635812046,14.833365770582741
mc_dropout_T8_p0.1,IDN,310,91.53458213806152,6,0.4515046169561105,0.04994257479724353,0.30048077570641657,0.3004807757064166,0.5628438452316816,0.2,0.704,16.695697838576606,18.43259880088734
mc_dropout_T8_p0.1,CHN,310,92.01442050933838,6,0.36717564845502926,0.053705930565457624,0.4095175594070287,0.40951755940702883,0.42006265657838465,0.6,0.20799999999999982,12.342050460799802,14.989883078172607
mc_dropout_T8_p0.1,JPN,310,95.9466404914856,6,0.3708325408245945,0.04043287415428296,0.7715492123730303,0.7715492123730302,0.07232324739162785,0.7142857142857143,0.1107871720116617,13.614049286567152,15.139175084001138
mc_dropout_T8_p0.1,BGD,310,84.71228814125061,6,0.3786539364883579,0.04303523499883052,0.6961200327649646,0.6961200327649645,0.12448395258303817,0.8285714285714287,0.04156268221574334,13.801108540651207,15.458482224878429
mc_dropout_T8_p0.1,IRN,310,107.23257732391357,6,0.537896516724151,0.07430551636513477,-0.27616026073067196,-0.27616026073067196,0.5962902195711494,-0.08571428571428573,0.8717434402332361,18.756692802188123,21.959533339910134
mc_dropout_T8_p0.1,SRB,310,84.64499521255493,6,0.4102560450306668,0.04393967420473473,0.6352931429522862,0.6352931429522862,0.1752616087855522,0.6,0.20799999999999982,15.184636897447483,16.748632903623538
mc_dropout_T8_p0.1,ROU,310,84.55329537391663,6,0.3975650115216197,0.043600893457801826,0.6819064448143832,0.6819064448143832,0.13568235358866543,0.7714285714285715,0.07239650145772594,14.612557396323195,16.230523630194728
mc_dropout_T8_p0.1,KGZ,310,84.85158252716064,6,0.3606169775276026,0.04062530847864952,0.7144700031659368,0.7144700031659367,0.11065181249106752,0.6571428571428573,0.15617492711370237,13.238798134218316,14.722126458788905
mc_dropout_T8_p0.1,ETH,310,84.71849703788757,6,0.5255443526643497,0.05776702692976961,0.5548702035161659,0.5548702035161658,0.2531116754069917,0.6,0.20799999999999982,18.809657509959578,21.455258353815832
